INFO:root:Parameters: s_cones_init=1.0 m_cones_init=920.0, max_probability=10.0, grid_size=45, Variance: 57640.08789212241
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=1.0, max_probability=0.01, grid_size=45, Variance: 332.3043471023619
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=1.0, max_probability=2.5075, grid_size=45, Variance: 5180.194058079397
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=1.0, max_probability=5.005, grid_size=45, Variance: 8.95906436042952e+29
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=1.0, max_probability=7.5024999999999995, grid_size=45, Variance: 9165.9893219697
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=1.0, max_probability=10.0, grid_size=45, Variance: 1565.9883969355117
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=49.36842105263158, max_probability=0.01, grid_size=45, Variance: 11419.47350418907
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=49.36842105263158, max_probability=2.5075, grid_size=45, Variance: 398.66262182710886
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=49.36842105263158, max_probability=5.005, grid_size=45, Variance: 1355.964118463441
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=49.36842105263158, max_probability=7.5024999999999995, grid_size=45, Variance: 1166.3583507033936
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=49.36842105263158, max_probability=10.0, grid_size=45, Variance: 1218.9981747815511
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=97.73684210526316, max_probability=0.01, grid_size=45, Variance: 160.76087509010569
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=97.73684210526316, max_probability=2.5075, grid_size=45, Variance: 1.6625227800320142e+30
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=97.73684210526316, max_probability=5.005, grid_size=45, Variance: 128.69525315452896
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=97.73684210526316, max_probability=7.5024999999999995, grid_size=45, Variance: 502.14664527554265
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=97.73684210526316, max_probability=10.0, grid_size=45, Variance: 1197.9825329803398
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=146.10526315789474, max_probability=0.01, grid_size=45, Variance: 255.40171428362208
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=146.10526315789474, max_probability=2.5075, grid_size=45, Variance: 253.93104359323826
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=146.10526315789474, max_probability=5.005, grid_size=45, Variance: 875.5647687066026
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=146.10526315789474, max_probability=7.5024999999999995, grid_size=45, Variance: 205.49451619752992
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=146.10526315789474, max_probability=10.0, grid_size=45, Variance: 9.553802253184883e+29
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=194.47368421052633, max_probability=0.01, grid_size=45, Variance: 1551.1982661630293
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=194.47368421052633, max_probability=2.5075, grid_size=45, Variance: 1218.5595132556755
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=194.47368421052633, max_probability=5.005, grid_size=45, Variance: 76.8646210998856
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=194.47368421052633, max_probability=7.5024999999999995, grid_size=45, Variance: 515.2083974149388
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=194.47368421052633, max_probability=10.0, grid_size=45, Variance: 447.0859123014239
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=242.84210526315792, max_probability=0.01, grid_size=45, Variance: 1021.4575037754615
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=242.84210526315792, max_probability=2.5075, grid_size=45, Variance: 1252.6357426336876
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=242.84210526315792, max_probability=5.005, grid_size=45, Variance: 4617.929288899222
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=242.84210526315792, max_probability=7.5024999999999995, grid_size=45, Variance: 853.5276586934862
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=242.84210526315792, max_probability=10.0, grid_size=45, Variance: 232.3208288526503
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=291.2105263157895, max_probability=0.01, grid_size=45, Variance: 170.40035518034557
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=291.2105263157895, max_probability=2.5075, grid_size=45, Variance: 341.2971539762262
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=291.2105263157895, max_probability=5.005, grid_size=45, Variance: 86.09429831238047
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=291.2105263157895, max_probability=7.5024999999999995, grid_size=45, Variance: 2.0300195517685367e+30
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=291.2105263157895, max_probability=10.0, grid_size=45, Variance: 2878.713435394206
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=339.5789473684211, max_probability=0.01, grid_size=45, Variance: 1.6208675633332372e+30
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=339.5789473684211, max_probability=2.5075, grid_size=45, Variance: 685.3692634619007
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=339.5789473684211, max_probability=5.005, grid_size=45, Variance: 802.6252857281572
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=339.5789473684211, max_probability=7.5024999999999995, grid_size=45, Variance: 1550.8729682768148
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=339.5789473684211, max_probability=10.0, grid_size=45, Variance: 5685.344406826277
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=387.94736842105266, max_probability=0.01, grid_size=45, Variance: 414.3095760864337
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=387.94736842105266, max_probability=2.5075, grid_size=45, Variance: 1.677399101215336e+29
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=387.94736842105266, max_probability=5.005, grid_size=45, Variance: 719.5562272882355
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=387.94736842105266, max_probability=7.5024999999999995, grid_size=45, Variance: 501.7988270002117
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=387.94736842105266, max_probability=10.0, grid_size=45, Variance: 309.7850757969699
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=436.3157894736842, max_probability=0.01, grid_size=45, Variance: 463.11581699204737
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=436.3157894736842, max_probability=2.5075, grid_size=45, Variance: 7438.931895718318
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=436.3157894736842, max_probability=5.005, grid_size=45, Variance: 14702.722651234099
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=436.3157894736842, max_probability=7.5024999999999995, grid_size=45, Variance: 13704.603822364978
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=436.3157894736842, max_probability=10.0, grid_size=45, Variance: 245.92750477535108
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=484.68421052631584, max_probability=0.01, grid_size=45, Variance: 1441.6544553546269
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=484.68421052631584, max_probability=2.5075, grid_size=45, Variance: 367.71592053770627
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=484.68421052631584, max_probability=5.005, grid_size=45, Variance: 362.4250166193228
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=484.68421052631584, max_probability=7.5024999999999995, grid_size=45, Variance: 226.87581735469973
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=484.68421052631584, max_probability=10.0, grid_size=45, Variance: 757.4297750706484
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=533.0526315789474, max_probability=0.01, grid_size=45, Variance: 953.9674561624679
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=533.0526315789474, max_probability=2.5075, grid_size=45, Variance: 1.5096591910938057e+30
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=533.0526315789474, max_probability=5.005, grid_size=45, Variance: 9.132506217727949e+29
INFO:root:Parameters: s_cones_init=12.285714285714286 m_cones_init=533.0526315789474, max_probability=7.5024999999999995, grid_size=45, Variance: 130.18920838403778
