INFO:root:Parameters: birth_rate=0.7 a=125.5, m=26.666777777777778 c=1.0, init_mode=random, grid_size=45, Variance: 1.232891639978242e+30
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=26.666777777777778 c=9.0, init_mode=random, grid_size=45, Variance: 2734.150129684541
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=26.666777777777778 c=17.0, init_mode=random, grid_size=45, Variance: 2152.129733068597
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=26.666777777777778 c=25.0, init_mode=random, grid_size=45, Variance: 491.86736909627064
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=30.0 c=1.0, init_mode=random, grid_size=45, Variance: 363.90288316210587
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=30.0 c=9.0, init_mode=random, grid_size=45, Variance: 10276.010610678177
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=30.0 c=17.0, init_mode=random, grid_size=45, Variance: 643.354806419176
INFO:root:Parameters: birth_rate=0.7 a=125.5, m=30.0 c=25.0, init_mode=random, grid_size=45, Variance: 2967.0257526397213
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=0.001 c=1.0, init_mode=random, grid_size=45, Variance: 836.2162374198683
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=0.001 c=9.0, init_mode=random, grid_size=45, Variance: 1313.6219298617425
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=0.001 c=17.0, init_mode=random, grid_size=45, Variance: 1600.5051063945787
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=0.001 c=25.0, init_mode=random, grid_size=45, Variance: 1928.5314089538754
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=3.334222222222222 c=1.0, init_mode=random, grid_size=45, Variance: 12226.761269057919
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=3.334222222222222 c=9.0, init_mode=random, grid_size=45, Variance: 1012.565617784737
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=3.334222222222222 c=17.0, init_mode=random, grid_size=45, Variance: 844.0246815671803
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=3.334222222222222 c=25.0, init_mode=random, grid_size=45, Variance: 1161.1828017459395
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=6.6674444444444445 c=1.0, init_mode=random, grid_size=45, Variance: 102.71574328890121
INFO:root:Parameters: birth_rate=0.7 a=187.75, m=6.6674444444444445 c=9.0, init_mode=random, grid_size=45, Variance: 8.187581772964787e+28
